Country,Start Month,Animal accident,Drought,Earthquake,Epidemic,Extreme temperature ,Flood,Fog,Glacial lake outburst,Impact,Insect infestation,Landslide,Mass movement (dry),Storm,Volcanic activity,Wildfire,mean_deaths_per_month,CountryMonthlyMean,GlobalMonthlyMean
Angola,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59.0,95.30416666666667,237.06111696522655
Angola,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,95.30416666666667,5728.0
Angola,8.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,82.5,95.30416666666667,280.8321108394458
Angola,9.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,95.30416666666667,365.75765765765766
Angola,10.0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,86.0,95.30416666666667,511.2567567567568
Angola,11.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.0,95.30416666666667,581.2519280205655
Angola,12.0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,192.5,95.30416666666667,1039.5979899497488
Anguilla,1.0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,,4.5,434.68226600985224
Anguilla,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,4.5,526.7740693196406
Anguilla,6.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,4.5,237.06111696522655
Anguilla,9.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4.5,4.5,365.75765765765766
Anguilla,11.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,4.5,581.2519280205655
Antigua and Barbuda,8.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,1.2777777777777777,280.8321108394458
Antigua and Barbuda,9.0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1.8333333333333333,1.2777777777777777,365.75765765765766
Antigua and Barbuda,10.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.0,1.2777777777777777,511.2567567567568
Antigua and Barbuda,11.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,1.2777777777777777,581.2519280205655
Argentina,1.0,0,2,3,0,1,11,0,0,0,0,3,0,5,0,3,739.2857142857143,86.05981541606542,434.68226600985224
Argentina,2.0,0,0,0,1,0,3,0,0,0,0,1,0,4,0,0,32.875,86.05981541606542,185.49571428571429
Argentina,3.0,0,0,0,1,0,10,0,0,0,0,0,0,1,0,1,11.25,86.05981541606542,151.31508875739644
Argentina,4.0,0,0,0,0,0,11,0,0,0,0,0,0,4,1,0,14.818181818181818,86.05981541606542,526.7740693196406
Argentina,5.0,0,0,1,0,1,8,0,0,0,0,0,0,0,1,0,17.25,86.05981541606542,1085.6772366930918
Argentina,6.0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,15.0,86.05981541606542,237.06111696522655
Argentina,7.0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,85.2,86.05981541606542,5728.0
Argentina,8.0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,24.0,86.05981541606542,280.8321108394458
Argentina,9.0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,10.0,86.05981541606542,365.75765765765766
Argentina,10.0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,9.88888888888889,86.05981541606542,511.2567567567568
Argentina,11.0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,19.4,86.05981541606542,581.2519280205655
Argentina,12.0,0,1,1,0,0,5,0,0,0,0,0,0,3,0,1,53.75,86.05981541606542,1039.5979899497488
Armenia,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,965.0,151.31508875739644
Armenia,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2890.0,965.0,526.7740693196406
Armenia,5.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,965.0,1085.6772366930918
Armenia,6.0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,4.0,965.0,237.06111696522655
Armenia,7.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,965.0,5728.0
Armenia,8.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,965.0,280.8321108394458
Armenia,12.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,965.0,1039.5979899497488
Australia,1.0,0,1,0,1,3,11,0,0,0,0,0,0,20,0,13,21.4,9.490806252570957,434.68226600985224
Australia,2.0,0,0,0,1,1,14,0,0,0,0,0,0,18,0,10,27.11764705882353,9.490806252570957,185.49571428571429
Australia,3.0,0,0,0,0,0,9,0,0,0,0,0,0,14,0,1,4.9,9.490806252570957,151.31508875739644
Australia,4.0,0,1,0,0,0,5,0,0,0,1,0,0,11,0,0,4.0,9.490806252570957,526.7740693196406
Australia,5.0,0,1,0,0,0,3,0,0,0,0,0,0,3,0,0,2.0,9.490806252570957,1085.6772366930918
Australia,6.0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,4.5,9.490806252570957,237.06111696522655
Australia,7.0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,11.333333333333334,9.490806252570957,5728.0
Australia,8.0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,1,6.0,9.490806252570957,280.8321108394458
Australia,9.0,0,0,0,0,0,2,0,0,0,0,1,0,5,0,2,14.0,9.490806252570957,365.75765765765766
Australia,10.0,0,1,1,0,0,3,0,0,0,0,0,0,4,0,5,1.6666666666666667,9.490806252570957,511.2567567567568
Australia,11.0,0,0,0,0,1,5,0,0,0,0,0,0,11,0,4,5.818181818181818,9.490806252570957,581.2519280205655
Australia,12.0,0,2,1,0,2,7,0,0,0,0,0,0,19,0,4,11.153846153846153,9.490806252570957,1039.5979899497488
Austria,1.0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,73.66666666666667,19.03030303030303,434.68226600985224
Austria,2.0,0,0,0,0,1,0,0,0,0,0,3,0,4,0,0,17.333333333333332,19.03030303030303,185.49571428571429
Austria,3.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,13.0,19.03030303030303,151.31508875739644
Austria,4.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,15.0,19.03030303030303,526.7740693196406
Austria,5.0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,3.0,19.03030303030303,1085.6772366930918
Austria,6.0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2.3333333333333335,19.03030303030303,237.06111696522655
Austria,7.0,0,0,0,0,3,4,0,0,0,0,0,0,6,0,0,61.166666666666664,19.03030303030303,5728.0
Austria,8.0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,5.833333333333333,19.03030303030303,280.8321108394458
Austria,9.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,19.03030303030303,365.75765765765766
Austria,10.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.0,19.03030303030303,511.2567567567568
Austria,11.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,19.03030303030303,581.2519280205655
Austria,12.0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,15.0,19.03030303030303,1039.5979899497488
Azerbaijan,2.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,45.5,14.642857142857142,185.49571428571429
Azerbaijan,4.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,14.642857142857142,526.7740693196406
Azerbaijan,5.0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3.0,14.642857142857142,1085.6772366930918
