ISO,Year,Month,Day,TotalDeaths,TotalAffected
ARG,2009,11,14,7,30618
ARG,2009,12,28,2,3510
ARG,2010,7,0,42,0
ARG,2011,6,4,0,3000
ARG,2012,10,29,1,7510
ARG,2012,11,20,6,10000
ARG,2012,4,4,18,2020
ARG,2013,12,3,4,12
ARG,2013,4,1,52,350000
ARG,2014,1,25,24,350
ARG,2014,4,1,0,2000
ARG,2014,6,7,0,0
ARG,2014,10,30,3,5203
ARG,2015,2,15,8,4500
ARG,2015,4,24,0,0
ARG,2015,3,4,2,15000
ARG,2015,8,5,3,50000
ARG,2016,4,4,0,72119
ARG,0,0,0,0,0
ARG,2017,5,29,0,3000
ARG,0,0,0,0,0
ARG,0,0,0,0,0
ARG,0,0,0,0,0
ARG,2018,11,12,0,1420
ARG,2018,4,28,2,1200
ARG,2018,1,0,0,0
ARG,2018,1,31,0,17000
ARG,2018,1,20,0,45000
ARG,2019,1,11,4,31451
ARG,2019,4,23,2,1800
ARG,2019,5,10,0,2100
ARG,2019,12,0,8,35032
ARG,2020,1,15,0,250
ARG,2020,2,11,3,3000
ARG,2021,1,18,0,1814
ARG,2021,3,1,0,90
ARG,0,0,0,0,0
